FID,SRC_AGENCY,FIRE_ID,YEAR,MONTH,DAY,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
164165,AB,DA3-034-90,1990,8,6,0.1,N,Ground, 
164166,AB,DA3-035-90,1990,8,6,0.1,N,Ground, 
164167,AB,DA3-036-90,1990,8,2,0.1,N,Surface, 
164168,AB,DA3-038-90,1990,8,6,0.1,N,Ground, 
164169,AB,DA3-042-90,1990,8,6,1,N,Surface, 
164170,AB,DA3-043-90,1990,8,7,0.3,H,Ground, 
164171,AB,DA3-002-91,1991,7,28,0.5,N,Surface, 
164172,AB,DA3-003-91,1991,8,10,0.1,N,Surface, 
164173,AB,DA3-004-91,1991,8,10,0.1,N,Ground, 
164174,AB,DA3-005-91,1991,8,10,0.1,N,Surface, 
164175,AB,DA3-006-91,1991,8,10,1,N,Surface, 
164176,AB,DA3-007-91,1991,8,10,3,N,Surface, 
164177,AB,DA3-009-91,1991,8,15,48,N,Crown, 
164178,AB,DA3-002-92,1992,7,13,0.7,N,Surface, 
164179,AB,DA3-003-92,1992,8,13,0.5,H,Ground, 
164180,AB,DA3-004-92,1992,8,16,0.3,H,Surface, 
164181,AB,DA3-005-92,1992,8,26,0.1,H,Ground, 
164182,AB,DA3-044-90,1990,8,15,0.1,H,Surface, 
164183,AB,DF2-010-89,1989,6,15,1.4,N,Ground, 
164184,AB,DF2-015-89,1989,7,15,0.4,N,Surface, 
164185,AB,DF2-016-89,1989,7,15,0,N,Surface, 
164186,AB,DF2-017-89,1989,7,15,0.7,N,Surface, 
164187,AB,DF2-018-89,1989,7,16,3,N,Surface, 
164188,AB,DF2-019-89,1989,7,15,0.5,N,Surface, 
164189,AB,DF2-021-89,1989,7,27,1.5,N,Surface, 
164190,AB,DF2-022-89,1989,7,27,2.5,N,Surface, 
164191,AB,DF2-023-89,1989,7,27,0,H,Ground, 
164192,AB,DF2-025-89,1989,8,8,0.4,N,Surface, 
164193,AB,DF2-027-89,1989,8,8,0.8,N,Surface, 
164194,AB,DF2-028-89,1989,8,8,1.5,N,Crown, 
164195,AB,DF2-029-89,1989,8,8,1.5,N,Surface, 
164196,AB,DF2-030-89,1989,8,8,0.1,N,Surface, 
164197,AB,DF2-031-89,1989,8,12,1.5,N,Crown, 
164198,AB,DF2-032-89,1989,8,12,1.5,N,Surface, 
164199,AB,DF2-058-89,1989,8,15,1,N,Surface, 
164200,AB,DF2-060-89,1989,8,19,3,N,Surface, 
164201,AB,DF2-061-89,1989,8,19,0.1,N,Surface, 
164202,AB,DF2-001-90,1990,5,30,2,N,Surface, 
164203,AB,DF2-009-90,1990,6,19,0.1,N,Surface, 
164204,AB,DF2-010-90,1990,6,20,4,N,Surface, 
164205,AB,DF2-018-90,1990,7,12,0.1,N,Surface, 
164206,AB,DF2-019-90,1990,7,12,0.1,N,Surface, 
164207,AB,DF2-023-90,1990,7,22,1.5,N,Surface, 
164208,AB,DF2-025-90,1990,7,22,0.1,N,Ground, 
164209,AB,DF2-026-90,1990,7,22,3,N,Surface, 
164210,AB,DF2-027-90,1990,7,22,1,N,Ground, 
164211,AB,DF2-043-90,1990,8,6,1,N,Crown, 
