FID,SRC_AGENCY,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE
1188,BC,55.6308,-121.4285,2023,8,8,2023-08-08,0.8,N,Fire,FUL
1189,BC,53.8147999999999,-120.905,2023,7,21,2023-07-21,0.5,N,Fire,FUL
1190,BC,57.6323999999999,-125.9272,2023,6,23,2023-06-23,4638.0,N,Fire,FUL
1191,BC,54.1447999999999,-127.175299999999,2023,7,17,2023-07-17,0.009,N,Fire,FUL
1192,BC,50.9377,-126.8155,2023,8,28,2023-08-28,0.04,N,Fire,FUL
1193,BC,49.6747,-120.955699999999,2023,8,7,2023-08-07,0.009,N,Fire,FUL
1194,BC,49.939,-125.7452,2023,8,30,2023-08-30,8.18,N,Fire,MON
1195,BC,49.6743,-120.5883,2023,8,6,2023-08-06,0.009,N,Fire,FUL
1196,BC,55.9119999999999,-123.1348,2023,6,4,2023-06-04,363.88,N,Fire,MON
1197,BC,53.6649,-125.208299999999,2023,7,16,2023-07-16,0.0,N,Fire,MON
1198,BC,55.6604,-125.118399999999,2023,7,13,2023-07-13,7.1,N,Fire,FUL
1199,BC,52.9029999999999,-126.787899999999,2023,7,15,2023-07-15,17.5,N,Fire,MON
1200,BC,50.802,-122.528499999999,2023,7,12,2023-07-12,241.0,N,Fire,MOD
1201,BC,57.1285999999999,-121.646199999999,2023,6,25,2023-06-25,0.03,N,Fire,FUL
1202,BC,54.2777999999999,-122.1972,2023,6,30,2023-06-30,0.2,N,Fire,FUL
1203,BC,49.7242999999999,-120.0989,2023,8,8,2023-08-08,0.02,N,Fire,FUL
1204,BC,51.9223,-117.3818,2023,7,26,2023-07-26,13.0,N,Fire,MON
1205,BC,59.6873,-122.9855,2023,6,15,2023-06-15,0.5,N,Fire,FUL
1206,BC,59.1334999999999,-121.272499999999,2023,6,6,2023-06-06,0.18,N,Fire,FUL
1207,BC,52.1242,-118.3134,2023,8,19,2023-08-19,0.88,N,Fire,MON
1208,BC,50.3581999999999,-117.6146,2023,7,31,2023-07-31,868.0,N,Fire,MOD
1209,BC,49.4172,-121.788799999999,2023,8,28,2023-08-28,1.1,N,Fire,FUL
1210,BC,53.5758999999999,-123.5415,2023,7,8,2023-07-08,0.03,N,Fire,FUL
1211,BC,50.268,-117.0485,2023,8,6,2023-08-06,0.3,N,Fire,FUL
1212,BC,49.3091999999999,-117.1223,2023,8,6,2023-08-06,0.06,N,Fire,FUL
1213,BC,52.4044,-121.8532,2023,6,21,2023-06-21,0.009,N,Fire,FUL
1214,BC,49.3233999999999,-120.0188,2023,5,20,2023-05-20,0.009,N,Fire,FUL
1215,BC,53.6822999999999,-123.3523,2023,7,22,2023-07-22,0.009,N,Fire,FUL
1216,BC,50.5234,-122.8677,2023,7,12,2023-07-12,0.17,N,Fire,FUL
1217,BC,52.5737999999999,-120.8445,2023,8,6,2023-08-06,6.0,N,Fire,MOD
1218,BC,50.6929,-118.6358,2023,8,21,2023-08-21,0.01,N,Fire,FUL
1219,BC,54.7269,-120.1362,2023,7,8,2023-07-08,8.6,N,Fire,FUL
1220,BC,54.0953999999999,-124.3983,2023,7,22,2023-07-22,0.009,N,Fire,FUL
1221,BC,52.4363,-121.7775,2023,7,13,2023-07-13,0.009,N,Fire,FUL
1222,BC,50.0846,-125.8861,2023,8,29,2023-08-29,0.34,N,Fire,FUL
1223,BC,56.1373,-129.2965,2023,7,25,2023-07-25,0.009,N,Fire,FUL
1224,BC,53.5416,-123.3733,2023,8,1,2023-08-01,0.009,N,Fire,FUL
1225,BC,50.2826999999999,-120.2154,2023,8,22,2023-08-22,0.009,N,Fire,FUL
